ID;CATEGORY;NAME;ATTRIBUTE1;ATTRIBUTE2;VALUE1;VALUE2;DESCRIPTION;BRAND;FEATURE;PRICE;PVP_BIGBUY;PVD;IVA;VIDEO;EAN13;WIDTH;HEIGHT;DEPTH;WEIGHT;STOCK;DATE_ADD;DATE_UPD;IMAGE1;IMAGE2;IMAGE3;IMAGE4;IMAGE5;IMAGE6;IMAGE7;IMAGE8
H4515100;2571,2572,2660;"Tapete Musical Batería";;;;;"<p>¡Ya puedes hacer que los pequeños de la casa disfruten de la <strong>música </strong>mientras se divierten con este alucinante <strong>tapete musical Batería</strong>! Podrán mejorar sus habilidades sensoriales y su psicomotricidad al ritmo de la música. Funciona con pilas (4 x AA, no incluidas). Medidas plegado aprox.: 32 x 36 x 7,5 cm. Medidas desplegado aprox.: 78 x 67,5 x 6,5 cm. Incluye auriculares fijos con micrófono y 2 baquetas de plástico (aprox.: 2 cm de diámetro x 29 cm de longitud). Edad recomendada: +3 años.</p>";2258;;59;35;17.94;21;gaIspKuUiCs;7569000756827;47;33;7.5;1.065;0;"2016-09-22 06:17:28";"2017-03-24 15:02:02";http://dropshipping.bigbuy.eu/imgs/H4515100_87427.jpg;http://dropshipping.bigbuy.eu/imgs/H4515100_87426.jpg;http://dropshipping.bigbuy.eu/imgs/H4515100_87425.jpg;http://dropshipping.bigbuy.eu/imgs/H4515100_87424.jpg;http://dropshipping.bigbuy.eu/imgs/H4515100_87423.jpg;http://dropshipping.bigbuy.eu/imgs/H4515100_87422.jpg;;
H4515101;2571,2572,2660;"Tapete Musical Piano";;;;;"<p>El <strong>tapete musical Piano</strong> es ideal para introducir a los niños y niñas en el mundo de los <strong>sonidos rítmicos</strong>. Con música de fondo, puedes escoger entre 9 sonidos instrumentales y 10 melodías. Funciona con 4 pilas AA (no incluidas) y es compatible con MP3 y CD. Apto para niños mayores de 3 años. Medidas: 74 x 260 cm. Con este <strong>juguete</strong> tan divertido, tus hijos lo pasarán en grande.</p>";2258;;185.1;91.2;45.64;21;c7sIiHCploo;7569000748037;40;11;86;2.161;116;"2015-12-10 08:16:41";"2017-03-27 19:01:25";http://dropshipping.bigbuy.eu/imgs/H4515101_87429.jpg;http://dropshipping.bigbuy.eu/imgs/H4515101_87434.jpg;http://dropshipping.bigbuy.eu/imgs/H4515101_87433.jpg;http://dropshipping.bigbuy.eu/imgs/H4515101_87432.jpg;http://dropshipping.bigbuy.eu/imgs/H4515101_87431.jpg;http://dropshipping.bigbuy.eu/imgs/H4515101_87430.jpg;http://dropshipping.bigbuy.eu/imgs/H4515101_87428.jpg;
H4530100;2571,2611,2616;"Goma de Borrar Animales  ";;;;;"<p><strong></strong>Gomas de Borrar Animales. Colección de 4 gomas de borrar ideal para el estuche de los más pequeños de la casa. Hasta 6 series surtidas de gomas. Servidas 4 unidades en bolsita de plástico. Medidas 4 x 2.5 cm. En el Precio incluye el Expositor Punto de Venta por la compra de  24 Uds.</p>";2258;;3.65;1.55;0.69;21;0;7569000764495;10.5;9.5;3;0.042;86;"2012-05-21 10:26:58";"2017-03-27 09:21:52";http://dropshipping.bigbuy.eu/imgs/goma-de-borrar-animales-00.jpg;http://dropshipping.bigbuy.eu/imgs/bro129_1.jpg;http://dropshipping.bigbuy.eu/imgs/bro129_2.jpg;;;;;
H4530102;2571,2572,2587;"Helicóptero con Base Disparo";;;;;"<p><strong>Comprar Helicóptero con Base Disparo al mejor precio.</strong> Disfruta con este <strong>helicóptero</strong> de plástico de aproximadamente 20 cm. Con <strong>base de disparo</strong> para poder hacerlo volar. Disfruta en compañía de los más pequeños con este juguete con buen <strong>Precio</strong> pero resultón.</p>";2258;;12.8;5.93;3.02;21;;7569000754960;19.5;6.2;30;0.146;0;"2012-05-21 10:27:00";"2017-03-24 15:03:16";http://dropshipping.bigbuy.eu/imgs/helicoptero-con-base-disparo-00.jpg;http://dropshipping.bigbuy.eu/imgs/bro146_1.jpg;;;;;;
H3505101;2571,2611,2616;"Calculadora Solar iPad";;;;;"<p>La<strong> calculadora solar iPad</strong> es llamativa y práctica. Tiene unas medidas de 19 x 24,5 cm y botones coloridos. Esta <strong>calculadora</strong> es perfecta para tus hijos o personas mayores, ya que resulta muy atractiva y su tamaño facilita el uso.</p>";2253;;16;9.19;4.67;21;;7569000763306;22;32;1.5;0.331;19;"2016-12-14 21:08:57";"2017-03-27 08:17:02";http://dropshipping.bigbuy.eu/imgs/bro165_1.jpg;http://dropshipping.bigbuy.eu/imgs/calculadora-solar-ipad-00.jpg;;;;;;
H4515102;2571,2572,2660;"Piano Portátil";;;;;"<p><strong>Comprar Piano Portátil al mejor precio.</strong> El <strong>piano portátil </strong>dispone de 61 teclas, 9 sonidos y 10 melodías para que los más pequeños pasen auténticos momentos de<strong> diversión</strong>, además de poder aprender e iniciarse en el ámbito<strong> musical</strong>. Medidas: 91 x 17 cm. El <strong>piano portátil </strong>es compatible con dispositivos MP3 y CD. El <strong>piano portátil </strong>funciona con 4 pilas AA (no incluidas). También se puede conectar a la red eléctrica mediante un transformador de 4,5 V (no incluido). El <strong>piano portátil </strong>es apto para niños mayores de 3-4 años.</p>";2258;;169;85.04;43.65;21;;7569000754939;31.5;19;8;1.123;7;"2014-08-04 07:12:05";"2017-03-24 15:02:15";http://dropshipping.bigbuy.eu/imgs/piano-portatil-000.jpg;http://dropshipping.bigbuy.eu/imgs/bro174_2.jpg;http://dropshipping.bigbuy.eu/imgs/piano-portatil-00.jpg;http://dropshipping.bigbuy.eu/imgs/piano-portatil-02.jpg;http://dropshipping.bigbuy.eu/imgs/piano-portatil-01.jpg;;;
H3525103;2571,2572,2660;"Gusano Mágico ";;;;;"<p><strong></strong>Gusano Mágico. Con este gusano loco como mascota no tendrás tiempo de aburrirte. Es sencillo de hacer y fácil de aprender. Un gusano de aspecto lanoso con  ojos y nariz muy simpáticos. Llévate el Expositor punto de venta al mismo Precio por la compra de  24 Uds.</p>";2258;;3.5;1.22;0.62;21;0;7569000762552;9.3;20;2;0.015;77;"2012-05-21 10:27:07";"2017-03-24 15:00:19";http://dropshipping.bigbuy.eu/imgs/gusano-magico-01.jpg;http://dropshipping.bigbuy.eu/imgs/bro197_1.jpg;;;;;;
H3505103;2571,2611,2616;"Calculadora Solar  Oro";;;;;"<p>Calculadora Solar Oro.  Calculadora para que los más pequeños de la casa aprendan a utilizarla de forma divertida. Si quieres sorprender a alguien este es el regalo perfecto. Dispone de cédula solar con lo cual siempre tendrás autonomía. Medias 16.5 x 10 cm. Acabado en color Oro. Aprovecha ahora y llévate el Expositor Punto de Venta por el mismo Precio por la compra de 10 Uds.</p>";2253;;7.8;3.25;1.17;21;0;7569000754618;17;10.5;1.5;0.111;38;"2014-08-04 07:12:05";"2017-03-24 14:43:57";http://dropshipping.bigbuy.eu/imgs/calculadora-solar-oro-00_1.jpg;http://dropshipping.bigbuy.eu/imgs/bro198_1.jpg;http://dropshipping.bigbuy.eu/imgs/bro198_2.jpg;http://dropshipping.bigbuy.eu/imgs/bro198_3.jpg;;;;
H4530112;2571,2572,2578;"Plastilina Saltarina";;;;;"<p>¡Con la <strong>plastilina saltarina</strong> los niños lo pasarán en grande! Con este clásico y divertido artículo seguro que se mantendrán entretenidos. Disponible en varios diseños que se enviarán de manera aleatoria según disponibilidad de stock. Expositor punto de venta gratis por la compra de 12 unidades.</p>";2258;;4.45;1.99;0.84;21;0;7569000754977;7;4;7;0.025;78;"2012-05-21 10:27:42";"2017-03-28 22:23:43";http://dropshipping.bigbuy.eu/imgs/plastilina-saltarina-00.jpg;http://dropshipping.bigbuy.eu/imgs/jug020_1.jpg;http://dropshipping.bigbuy.eu/imgs/jug020_2.jpg;;;;;
H4530119;2571,2572,2660;"Peonza Saltarina con Led";;;;;"<p><strong></strong>Si estás buscando sorprender a los más pequeños de la casa con un <b>regalo original</b> que les haga pasar un rato muy divertido, la <b>peonza saltarina con led</b> tiene que ser tuya. Podrán disfrutar mientras hacen ejercicio y mejoran su psicomotricidad gruesa. ¡Un gran regalo para que disfruten y se lo pasen a lo grande! Medidas aprox.: 50 cm. Pilas incluidas. Fabricada de plástico. Disponible en diferentes colores muy llamativos que se enviarán de manera aleatoria según disponibilidad de stock.</p>";2258;;13.85;5.98;3.15;21;0;7569000755011;74;9.5;15.5;0.252;10;"2012-07-03 17:20:02";"2017-03-27 09:21:53";http://dropshipping.bigbuy.eu/imgs/peonza-saltarina-de-plastico-con-led-00.jpg;http://dropshipping.bigbuy.eu/imgs/bro194_1_1.jpg;http://dropshipping.bigbuy.eu/imgs/peonza-saltarina-de-plastico-con-led-01.jpg;http://dropshipping.bigbuy.eu/imgs/peonza-saltarina-de-plastico-con-led-02.jpg;;;;
