sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,qty,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,additional_images,related_skus,associated_skus,additional_attributes
H4515100,,Default,simple,"Mipeque/Categoria/Juguetes y Juegos,Mipeque/Categoria/Otros juguetes,Mipeque/Marca/Junior Knows",base,"Tapete Musical Batería","<p>¡Ya puedes hacer que los pequeños de la casa disfruten de la <strong>música </strong>mientras se divierten con este alucinante <strong>tapete musical Batería</strong>! Podrán mejorar sus habilidades sensoriales y su psicomotricidad al ritmo de la música. Funciona con pilas (4 x AA, no incluidas). Medidas plegado aprox.: 32 x 36 x 7,5 cm. Medidas desplegado aprox.: 78 x 67,5 x 6,5 cm. Incluye auriculares fijos con micrófono y 2 baquetas de plástico (aprox.: 2 cm de diámetro x 29 cm de longitud). Edad recomendada: +3 años.</p>",,1.065,1,"Taxable Goods","Catalog, Search",59,35,4/4/2017,4/5/2017,tapete-musical-bateria,,,,"2016-09-22 06:17:28","2017-03-24 15:02:02",0,tapete-musical-bateria.jpg,"tapete-musical-bateria imagen",tapete-musical-bateria.jpg,"tapete-musical-bateria imagen",tapete-musical-bateria.jpg,"tapete-musical-bateria imagen","tapete-musical-bateria_1.jpg,tapete-musical-bateria_2.jpg,tapete-musical-bateria_3.jpg,tapete-musical-bateria_4.jpg,tapete-musical-bateria_5.jpg","H4515100,H4515101,H4515102,H3525103,H4530119,H4530225,H4530224,H4530153,H4530152,H4530150,H4530151,H4530272,H4530178,H4530177,H4530176,H4530175,H4530252,F1015170,F1015190,H3525269,H2500206,H4530265,H4530267,H4530268,H4515111,H4530319,H4530320,V0000231,V0300107,V0200324,V0300182,V0500263,V0500258,V0300193,V0100228,V1600158,V0300226,V1600180,V1600184,V0500267,V0300264,V0300266,V0300272,V0300306,V0300307,V1300288,V1300289,V1300290,V1300291,V1300293,V1300294,V1300295,V1300296,V1300325,V1300326,V1300327,V1300328,V0500280,V1600189","H4515100,H4515101,H4515102,H3525103,H4530119,H4530225,H4530224,H4530153,H4530152,H4530150,H4530151,H4530272,H4530178,H4530177,H4530176,H4530175,H4530252,F1015170,F1015190,H3525269,H2500206,H4530265,H4530267,H4530268,H4515111,H4530319,H4530320,V0000231,V0300107,V0200324,V0300182,V0500263,V0500258,V0300193,V0100228,V1600158,V0300226,V1600180,V1600184,V0500267,V0300264,V0300266,V0300272,V0300306,V0300307,V1300288,V1300289,V1300290,V1300291,V1300293,V1300294,V1300295,V1300296,V1300325,V1300326,V1300327,V1300328,V0500280,V1600189","marca=Junior Knows"
H4515101,,Default,simple,"Mipeque/Categoria/Juguetes y Juegos,Mipeque/Categoria/Otros juguetes,Mipeque/Marca/Junior Knows",base,"Tapete Musical Piano","<p>El <strong>tapete musical Piano</strong> es ideal para introducir a los niños y niñas en el mundo de los <strong>sonidos rítmicos</strong>. Con música de fondo, puedes escoger entre 9 sonidos instrumentales y 10 melodías. Funciona con 4 pilas AA (no incluidas) y es compatible con MP3 y CD. Apto para niños mayores de 3 años. Medidas: 74 x 260 cm. Con este <strong>juguete</strong> tan divertido, tus hijos lo pasarán en grande.</p>",,2.161,1,"Taxable Goods","Catalog, Search",185.1,91.2,4/4/2017,4/5/2017,tapete-musical-piano,,,,"2015-12-10 08:16:41","2017-03-27 19:01:25",116,tapete-musical-piano.jpg,"tapete-musical-piano imagen",tapete-musical-piano.jpg,"tapete-musical-piano imagen",tapete-musical-piano.jpg,"tapete-musical-piano imagen","tapete-musical-piano_1.jpg,tapete-musical-piano_2.jpg,tapete-musical-piano_3.jpg,tapete-musical-piano_4.jpg,tapete-musical-piano_5.jpg,tapete-musical-piano_6.jpg","H4515100,H4515101,H4515102,H3525103,H4530119,H4530225,H4530224,H4530153,H4530152,H4530150,H4530151,H4530272,H4530178,H4530177,H4530176,H4530175,H4530252,F1015170,F1015190,H3525269,H2500206,H4530265,H4530267,H4530268,H4515111,H4530319,H4530320,V0000231,V0300107,V0200324,V0300182,V0500263,V0500258,V0300193,V0100228,V1600158,V0300226,V1600180,V1600184,V0500267,V0300264,V0300266,V0300272,V0300306,V0300307,V1300288,V1300289,V1300290,V1300291,V1300293,V1300294,V1300295,V1300296,V1300325,V1300326,V1300327,V1300328,V0500280,V1600189","H4515100,H4515101,H4515102,H3525103,H4530119,H4530225,H4530224,H4530153,H4530152,H4530150,H4530151,H4530272,H4530178,H4530177,H4530176,H4530175,H4530252,F1015170,F1015190,H3525269,H2500206,H4530265,H4530267,H4530268,H4515111,H4530319,H4530320,V0000231,V0300107,V0200324,V0300182,V0500263,V0500258,V0300193,V0100228,V1600158,V0300226,V1600180,V1600184,V0500267,V0300264,V0300266,V0300272,V0300306,V0300307,V1300288,V1300289,V1300290,V1300291,V1300293,V1300294,V1300295,V1300296,V1300325,V1300326,V1300327,V1300328,V0500280,V1600189","marca=Junior Knows"
H4530100,,Default,simple,"Mipeque/Categoria/Material Escolar,Mipeque/Categoria/Otro material escolar,Mipeque/Marca/Junior Knows",base,"Goma de Borrar Animales  ","<p><strong></strong>Gomas de Borrar Animales. Colección de 4 gomas de borrar ideal para el estuche de los más pequeños de la casa. Hasta 6 series surtidas de gomas. Servidas 4 unidades en bolsita de plástico. Medidas 4 x 2.5 cm. En el Precio incluye el Expositor Punto de Venta por la compra de  24 Uds.</p>",,0.042,1,"Taxable Goods","Catalog, Search",3.65,1.55,4/4/2017,4/5/2017,goma-de-borrar-animales-,,,,"2012-05-21 10:26:58","2017-03-27 09:21:52",86,goma-de-borrar-animales-.jpg,"goma-de-borrar-animales- imagen",goma-de-borrar-animales-.jpg,"goma-de-borrar-animales- imagen",goma-de-borrar-animales-.jpg,"goma-de-borrar-animales- imagen","goma-de-borrar-animales-_1.jpg,goma-de-borrar-animales-_2.jpg","H4530100,H3505101,H3505103,H3505122,H3505120,H3505121,H3505116,H3505117,H3505118,H4600010,H3505126,H4600011,V1300210,V1300199,V1300203,V1300207,V1300206,V1300211,V0300263,V0300291,V2100115,V2100118,V2100119,S0400380,S0400479,S0400524,S0400128,S0400899,S0400906,S0401519,S0401964","H4530100,H3505101,H3505103,H3505122,H3505120,H3505121,H3505116,H3505117,H3505118,H4600010,H3505126,H4600011,V1300210,V1300199,V1300203,V1300207,V1300206,V1300211,V0300263,V0300291,V2100115,V2100118,V2100119,S0400380,S0400479,S0400524,S0400128,S0400899,S0400906,S0401519,S0401964","marca=Junior Knows"
H4530102,,Default,simple,"Mipeque/Categoria/Juguetes y Juegos,Mipeque/Categoria/Vehículos circuitos y radio control,Mipeque/Marca/Junior Knows",base,"Helicóptero con Base Disparo","<p><strong>Comprar Helicóptero con Base Disparo al mejor precio.</strong> Disfruta con este <strong>helicóptero</strong> de plástico de aproximadamente 20 cm. Con <strong>base de disparo</strong> para poder hacerlo volar. Disfruta en compañía de los más pequeños con este juguete con buen <strong>Precio</strong> pero resultón.</p>",,0.146,1,"Taxable Goods","Catalog, Search",12.8,5.93,4/4/2017,4/5/2017,helicoptero-con-base-disparo,,,,"2012-05-21 10:27:00","2017-03-24 15:03:16",0,helicoptero-con-base-disparo.jpg,"helicoptero-con-base-disparo imagen",helicoptero-con-base-disparo.jpg,"helicoptero-con-base-disparo imagen",helicoptero-con-base-disparo.jpg,"helicoptero-con-base-disparo imagen",helicoptero-con-base-disparo_1.jpg,"H4530102,H4530126,H4530205,H4501010,H4501011,H4501009,H4501038,H4501037,H4501036,H4501040,H4501041,H4501042,H4501071,H4501072,H4501094,H4501095,H4501084,H4501100,H4501101,H4501141,H4501105,H4501106,H4501107,H4501109,H4501110,H4501112,H4501113,H4501115,H4501116,H4501118,H4501119,H4501121,H4501122,H4501123,H4501124,H4501126,H4501127,H4501129,H4501130,H4501132,H4501133,H4501135,H4501136,H4501138,H4501139,H4501140,H4530315,H4501104,H4501143,H4501145,H4501146,H4501102,H4501155,H4501156,V1600129,V1600130,V1600131,V0500265,V1600137,V1600141,V1600142,V1600151,V1600169,V0300227,V0500270,V0500271,V0500272,V0500277,V0500289,V0500288,V0500290,V0500282,V0500306,V0500307,V0500310,V0500309,V0500312,V0500311,V0500316,V0500317,V0500319,V0500320,V0200804,V0200806,V0200807","H4530102,H4530126,H4530205,H4501010,H4501011,H4501009,H4501038,H4501037,H4501036,H4501040,H4501041,H4501042,H4501071,H4501072,H4501094,H4501095,H4501084,H4501100,H4501101,H4501141,H4501105,H4501106,H4501107,H4501109,H4501110,H4501112,H4501113,H4501115,H4501116,H4501118,H4501119,H4501121,H4501122,H4501123,H4501124,H4501126,H4501127,H4501129,H4501130,H4501132,H4501133,H4501135,H4501136,H4501138,H4501139,H4501140,H4530315,H4501104,H4501143,H4501145,H4501146,H4501102,H4501155,H4501156,V1600129,V1600130,V1600131,V0500265,V1600137,V1600141,V1600142,V1600151,V1600169,V0300227,V0500270,V0500271,V0500272,V0500277,V0500289,V0500288,V0500290,V0500282,V0500306,V0500307,V0500310,V0500309,V0500312,V0500311,V0500316,V0500317,V0500319,V0500320,V0200804,V0200806,V0200807","marca=Junior Knows"
H3505101,,Default,simple,"Mipeque/Categoria/Material Escolar,Mipeque/Categoria/Otro material escolar,Mipeque/Marca/Gadget and Gifts",base,"Calculadora Solar iPad","<p>La<strong> calculadora solar iPad</strong> es llamativa y práctica. Tiene unas medidas de 19 x 24,5 cm y botones coloridos. Esta <strong>calculadora</strong> es perfecta para tus hijos o personas mayores, ya que resulta muy atractiva y su tamaño facilita el uso.</p>",,0.331,1,"Taxable Goods","Catalog, Search",16,9.19,4/4/2017,4/5/2017,calculadora-solar-ipad,,,,"2016-12-14 21:08:57","2017-03-27 08:17:02",19,calculadora-solar-ipad.jpg,"calculadora-solar-ipad imagen",calculadora-solar-ipad.jpg,"calculadora-solar-ipad imagen",calculadora-solar-ipad.jpg,"calculadora-solar-ipad imagen",calculadora-solar-ipad_1.jpg,"H4530100,H3505101,H3505103,H3505122,H3505120,H3505121,H3505116,H3505117,H3505118,H4600010,H3505126,H4600011,V1300210,V1300199,V1300203,V1300207,V1300206,V1300211,V0300263,V0300291,V2100115,V2100118,V2100119,S0400380,S0400479,S0400524,S0400128,S0400899,S0400906,S0401519,S0401964","H4530100,H3505101,H3505103,H3505122,H3505120,H3505121,H3505116,H3505117,H3505118,H4600010,H3505126,H4600011,V1300210,V1300199,V1300203,V1300207,V1300206,V1300211,V0300263,V0300291,V2100115,V2100118,V2100119,S0400380,S0400479,S0400524,S0400128,S0400899,S0400906,S0401519,S0401964","marca=Gadget and Gifts"
H4515102,,Default,simple,"Mipeque/Categoria/Juguetes y Juegos,Mipeque/Categoria/Otros juguetes,Mipeque/Marca/Junior Knows",base,"Piano Portátil","<p><strong>Comprar Piano Portátil al mejor precio.</strong> El <strong>piano portátil </strong>dispone de 61 teclas, 9 sonidos y 10 melodías para que los más pequeños pasen auténticos momentos de<strong> diversión</strong>, además de poder aprender e iniciarse en el ámbito<strong> musical</strong>. Medidas: 91 x 17 cm. El <strong>piano portátil </strong>es compatible con dispositivos MP3 y CD. El <strong>piano portátil </strong>funciona con 4 pilas AA (no incluidas). También se puede conectar a la red eléctrica mediante un transformador de 4,5 V (no incluido). El <strong>piano portátil </strong>es apto para niños mayores de 3-4 años.</p>",,1.123,1,"Taxable Goods","Catalog, Search",169,85.04,4/4/2017,4/5/2017,piano-portatil,,,,"2014-08-04 07:12:05","2017-03-24 15:02:15",7,piano-portatil.jpg,"piano-portatil imagen",piano-portatil.jpg,"piano-portatil imagen",piano-portatil.jpg,"piano-portatil imagen","piano-portatil_1.jpg,piano-portatil_2.jpg,piano-portatil_3.jpg","H4515100,H4515101,H4515102,H3525103,H4530119,H4530225,H4530224,H4530153,H4530152,H4530150,H4530151,H4530272,H4530178,H4530177,H4530176,H4530175,H4530252,F1015170,F1015190,H3525269,H2500206,H4530265,H4530267,H4530268,H4515111,H4530319,H4530320,V0000231,V0300107,V0200324,V0300182,V0500263,V0500258,V0300193,V0100228,V1600158,V0300226,V1600180,V1600184,V0500267,V0300264,V0300266,V0300272,V0300306,V0300307,V1300288,V1300289,V1300290,V1300291,V1300293,V1300294,V1300295,V1300296,V1300325,V1300326,V1300327,V1300328,V0500280,V1600189","H4515100,H4515101,H4515102,H3525103,H4530119,H4530225,H4530224,H4530153,H4530152,H4530150,H4530151,H4530272,H4530178,H4530177,H4530176,H4530175,H4530252,F1015170,F1015190,H3525269,H2500206,H4530265,H4530267,H4530268,H4515111,H4530319,H4530320,V0000231,V0300107,V0200324,V0300182,V0500263,V0500258,V0300193,V0100228,V1600158,V0300226,V1600180,V1600184,V0500267,V0300264,V0300266,V0300272,V0300306,V0300307,V1300288,V1300289,V1300290,V1300291,V1300293,V1300294,V1300295,V1300296,V1300325,V1300326,V1300327,V1300328,V0500280,V1600189","marca=Junior Knows"
H3525103,,Default,simple,"Mipeque/Categoria/Juguetes y Juegos,Mipeque/Categoria/Otros juguetes,Mipeque/Marca/Junior Knows",base,"Gusano Mágico ","<p><strong></strong>Gusano Mágico. Con este gusano loco como mascota no tendrás tiempo de aburrirte. Es sencillo de hacer y fácil de aprender. Un gusano de aspecto lanoso con  ojos y nariz muy simpáticos. Llévate el Expositor punto de venta al mismo Precio por la compra de  24 Uds.</p>",,0.015,1,"Taxable Goods","Catalog, Search",3.5,1.22,4/4/2017,4/5/2017,gusano-magico-,,,,"2012-05-21 10:27:07","2017-03-24 15:00:19",77,gusano-magico-.jpg,"gusano-magico- imagen",gusano-magico-.jpg,"gusano-magico- imagen",gusano-magico-.jpg,"gusano-magico- imagen",gusano-magico-_1.jpg,"H4515100,H4515101,H4515102,H3525103,H4530119,H4530225,H4530224,H4530153,H4530152,H4530150,H4530151,H4530272,H4530178,H4530177,H4530176,H4530175,H4530252,F1015170,F1015190,H3525269,H2500206,H4530265,H4530267,H4530268,H4515111,H4530319,H4530320,V0000231,V0300107,V0200324,V0300182,V0500263,V0500258,V0300193,V0100228,V1600158,V0300226,V1600180,V1600184,V0500267,V0300264,V0300266,V0300272,V0300306,V0300307,V1300288,V1300289,V1300290,V1300291,V1300293,V1300294,V1300295,V1300296,V1300325,V1300326,V1300327,V1300328,V0500280,V1600189","H4515100,H4515101,H4515102,H3525103,H4530119,H4530225,H4530224,H4530153,H4530152,H4530150,H4530151,H4530272,H4530178,H4530177,H4530176,H4530175,H4530252,F1015170,F1015190,H3525269,H2500206,H4530265,H4530267,H4530268,H4515111,H4530319,H4530320,V0000231,V0300107,V0200324,V0300182,V0500263,V0500258,V0300193,V0100228,V1600158,V0300226,V1600180,V1600184,V0500267,V0300264,V0300266,V0300272,V0300306,V0300307,V1300288,V1300289,V1300290,V1300291,V1300293,V1300294,V1300295,V1300296,V1300325,V1300326,V1300327,V1300328,V0500280,V1600189","marca=Junior Knows"
H3505103,,Default,simple,"Mipeque/Categoria/Material Escolar,Mipeque/Categoria/Otro material escolar,Mipeque/Marca/Gadget and Gifts",base,"Calculadora Solar  Oro","<p>Calculadora Solar Oro.  Calculadora para que los más pequeños de la casa aprendan a utilizarla de forma divertida. Si quieres sorprender a alguien este es el regalo perfecto. Dispone de cédula solar con lo cual siempre tendrás autonomía. Medias 16.5 x 10 cm. Acabado en color Oro. Aprovecha ahora y llévate el Expositor Punto de Venta por el mismo Precio por la compra de 10 Uds.</p>",,0.111,1,"Taxable Goods","Catalog, Search",7.8,3.25,4/4/2017,4/5/2017,calculadora-solar-oro,,,,"2014-08-04 07:12:05","2017-03-24 14:43:57",38,calculadora-solar-oro.jpg,"calculadora-solar-oro imagen",calculadora-solar-oro.jpg,"calculadora-solar-oro imagen",calculadora-solar-oro.jpg,"calculadora-solar-oro imagen","calculadora-solar-oro_1.jpg,calculadora-solar-oro_2.jpg,calculadora-solar-oro_3.jpg","H4530100,H3505101,H3505103,H3505122,H3505120,H3505121,H3505116,H3505117,H3505118,H4600010,H3505126,H4600011,V1300210,V1300199,V1300203,V1300207,V1300206,V1300211,V0300263,V0300291,V2100115,V2100118,V2100119,S0400380,S0400479,S0400524,S0400128,S0400899,S0400906,S0401519,S0401964","H4530100,H3505101,H3505103,H3505122,H3505120,H3505121,H3505116,H3505117,H3505118,H4600010,H3505126,H4600011,V1300210,V1300199,V1300203,V1300207,V1300206,V1300211,V0300263,V0300291,V2100115,V2100118,V2100119,S0400380,S0400479,S0400524,S0400128,S0400899,S0400906,S0401519,S0401964","marca=Gadget and Gifts"
H4530112,,Default,simple,"Mipeque/Categoria/Juguetes y Juegos,Mipeque/Categoria/Juegos educativos y de habilidad,Mipeque/Marca/Junior Knows",base,"Plastilina Saltarina","<p>¡Con la <strong>plastilina saltarina</strong> los niños lo pasarán en grande! Con este clásico y divertido artículo seguro que se mantendrán entretenidos. Disponible en varios diseños que se enviarán de manera aleatoria según disponibilidad de stock. Expositor punto de venta gratis por la compra de 12 unidades.</p>",,0.025,1,"Taxable Goods","Catalog, Search",4.45,1.99,4/4/2017,4/5/2017,plastilina-saltarina,,,,"2012-05-21 10:27:42","2017-03-28 22:23:43",78,plastilina-saltarina.jpg,"plastilina-saltarina imagen",plastilina-saltarina.jpg,"plastilina-saltarina imagen",plastilina-saltarina.jpg,"plastilina-saltarina imagen","plastilina-saltarina_1.jpg,plastilina-saltarina_2.jpg","H4530112,H4530138,H4530144,H4530146,H4530147,H4530148,H4530145,H4530230,H4530234,H4530253,H4530254,H4530292,H4530293,H4530297,H4530298,H4530307,H4530309,H4530316,H4530318,H4600036,H4530321,H3525276,H4530334,V0000135,V0100151,V1600153,V1600157,V1600161,V1600162,V1600163,V1600164,V1600165,V1600170,V1600177,V0300265,V0500313,V0500321","H4530112,H4530138,H4530144,H4530146,H4530147,H4530148,H4530145,H4530230,H4530234,H4530253,H4530254,H4530292,H4530293,H4530297,H4530298,H4530307,H4530309,H4530316,H4530318,H4600036,H4530321,H3525276,H4530334,V0000135,V0100151,V1600153,V1600157,V1600161,V1600162,V1600163,V1600164,V1600165,V1600170,V1600177,V0300265,V0500313,V0500321","marca=Junior Knows"
H4530119,,Default,simple,"Mipeque/Categoria/Juguetes y Juegos,Mipeque/Categoria/Otros juguetes,Mipeque/Marca/Junior Knows",base,"Peonza Saltarina con Led","<p><strong></strong>Si estás buscando sorprender a los más pequeños de la casa con un <b>regalo original</b> que les haga pasar un rato muy divertido, la <b>peonza saltarina con led</b> tiene que ser tuya. Podrán disfrutar mientras hacen ejercicio y mejoran su psicomotricidad gruesa. ¡Un gran regalo para que disfruten y se lo pasen a lo grande! Medidas aprox.: 50 cm. Pilas incluidas. Fabricada de plástico. Disponible en diferentes colores muy llamativos que se enviarán de manera aleatoria según disponibilidad de stock.</p>",,0.252,1,"Taxable Goods","Catalog, Search",13.85,5.98,4/4/2017,4/5/2017,peonza-saltarina-con-led,,,,"2012-07-03 17:20:02","2017-03-27 09:21:53",10,peonza-saltarina-con-led.jpg,"peonza-saltarina-con-led imagen",peonza-saltarina-con-led.jpg,"peonza-saltarina-con-led imagen",peonza-saltarina-con-led.jpg,"peonza-saltarina-con-led imagen","peonza-saltarina-con-led_1.jpg,peonza-saltarina-con-led_2.jpg,peonza-saltarina-con-led_3.jpg","H4515100,H4515101,H4515102,H3525103,H4530119,H4530225,H4530224,H4530153,H4530152,H4530150,H4530151,H4530272,H4530178,H4530177,H4530176,H4530175,H4530252,F1015170,F1015190,H3525269,H2500206,H4530265,H4530267,H4530268,H4515111,H4530319,H4530320,V0000231,V0300107,V0200324,V0300182,V0500263,V0500258,V0300193,V0100228,V1600158,V0300226,V1600180,V1600184,V0500267,V0300264,V0300266,V0300272,V0300306,V0300307,V1300288,V1300289,V1300290,V1300291,V1300293,V1300294,V1300295,V1300296,V1300325,V1300326,V1300327,V1300328,V0500280,V1600189","H4515100,H4515101,H4515102,H3525103,H4530119,H4530225,H4530224,H4530153,H4530152,H4530150,H4530151,H4530272,H4530178,H4530177,H4530176,H4530175,H4530252,F1015170,F1015190,H3525269,H2500206,H4530265,H4530267,H4530268,H4515111,H4530319,H4530320,V0000231,V0300107,V0200324,V0300182,V0500263,V0500258,V0300193,V0100228,V1600158,V0300226,V1600180,V1600184,V0500267,V0300264,V0300266,V0300272,V0300306,V0300307,V1300288,V1300289,V1300290,V1300291,V1300293,V1300294,V1300295,V1300296,V1300325,V1300326,V1300327,V1300328,V0500280,V1600189","marca=Junior Knows"
