sku,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label
H4515100,tapete-musical-bateria.jpg,tapete-musical-bateria imagen,tapete-musical-bateria.jpg,tapete-musical-bateria imagen,tapete-musical-bateria.jpg,tapete-musical-bateria imagen
H4515101,tapete-musical-piano.jpg,tapete-musical-piano imagen,tapete-musical-piano.jpg,tapete-musical-piano imagen,tapete-musical-piano.jpg,tapete-musical-piano imagen
H4530100,goma-de-borrar-animales-.jpg,goma-de-borrar-animales- imagen,goma-de-borrar-animales-.jpg,goma-de-borrar-animales- imagen,goma-de-borrar-animales-.jpg,goma-de-borrar-animales- imagen
H4530102,helicoptero-con-base-disparo.jpg,helicoptero-con-base-disparo imagen,helicoptero-con-base-disparo.jpg,helicoptero-con-base-disparo imagen,helicoptero-con-base-disparo.jpg,helicoptero-con-base-disparo imagen
H3505101,calculadora-solar-ipad.jpg,calculadora-solar-ipad imagen,calculadora-solar-ipad.jpg,calculadora-solar-ipad imagen,calculadora-solar-ipad.jpg,calculadora-solar-ipad imagen
H4515102,piano-portatil.jpg,piano-portatil imagen,piano-portatil.jpg,piano-portatil imagen,piano-portatil.jpg,piano-portatil imagen
H3525103,gusano-magico-.jpg,gusano-magico- imagen,gusano-magico-.jpg,gusano-magico- imagen,gusano-magico-.jpg,gusano-magico- imagen
H3505103,calculadora-solar-oro.jpg,calculadora-solar-oro imagen,calculadora-solar-oro.jpg,calculadora-solar-oro imagen,calculadora-solar-oro.jpg,calculadora-solar-oro imagen
H4530112,plastilina-saltarina.jpg,plastilina-saltarina imagen,plastilina-saltarina.jpg,plastilina-saltarina imagen,plastilina-saltarina.jpg,plastilina-saltarina imagen
H4530119,peonza-saltarina-con-led.jpg,peonza-saltarina-con-led imagen,peonza-saltarina-con-led.jpg,peonza-saltarina-con-led imagen,peonza-saltarina-con-led.jpg,peonza-saltarina-con-led imagen
H0500136,camara-lanza-agua-gadget-and-gifts.jpg,camara-lanza-agua-gadget-and-gifts imagen,camara-lanza-agua-gadget-and-gifts.jpg,camara-lanza-agua-gadget-and-gifts imagen,camara-lanza-agua-gadget-and-gifts.jpg,camara-lanza-agua-gadget-and-gifts imagen
